Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
201a6702e802acdb7659a2f1a3f6018cbe7933f0,5067aae3d9e1474101b1df5c6b7fe79389e429ea7d820315b964dade113f9db00fd09bdaae86c17e22b9e197059dbc86b2c7e36ce25358737993f757f0b26e94,06/01/2022 12:00:00 AM,06/01/2022 12:00:00 AM,445,2.42,,,28,8,11.00,2.59,0.00,0.00,13.59,Mobile,Flash Cab,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
944074994bcd0f418645d42f515d022e3c870acb,1bb291b27cad860cc5e09ee3aea1261128edd297b00374adfcc6e40321f6310ee5b8472821d03d84ae58d1c7773410fd3c81cafd92ff2f3a1534df351322a0a5,06/01/2022 12:00:00 AM,06/01/2022 12:15:00 AM,1625,18.15,,,76,8,44.75,0.00,0.00,4.00,48.75,Cash,Sun Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
9ae53da6993ff87edc8e0628af16635711b73975,561fbb8af15689fe33fb11b96905cfb95d11ac44700c1a476e474b9b19d4dc24fec8cbfe3df913dc2ee78f919bd0b1cb416be0bc3b0a431d4335bfae2df63278,06/01/2022 12:00:00 AM,06/01/2022 12:00:00 AM,255,0.83,,,8,28,10.00,4.00,0.00,0.00,14.50,Credit Card,Flash Cab,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383)
13ec31a50f987de34570c605fa728f2a48b039fc,0fdba89b60c4f920c7a24fafbaf5d47f93026b492de33ac3fc16159156479dc43275ae80fda3ace17dd0760609589cc3dad3e70a47a100aa22f1bc9a2b783b06,06/01/2022 12:00:00 AM,06/01/2022 12:30:00 AM,1722,13.25,,,76,77,33.75,5.74,0.00,4.00,43.99,Credit Card,Star North Taxi Management Llc,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999)
1c7bca9bd2ea43f4b2bcf72ba52654b295d5973b,e2d8418fcdb061eee0a4318fba0a6a1200aaff0143feb0a74c7175a02ec7afca09f8c24de278cd0dee124d29dbfb2796407d069b90dfc13353d5d4ed02ecb0d5,06/01/2022 12:00:00 AM,06/01/2022 12:00:00 AM,414,0.93,,,6,6,11.00,1.93,0.00,0.00,12.93,Mobile,Chicago Independents,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
231996482345933e1871015d8967b2b7f0d6b6ee,42bfc19863617733aaa5ef96de670e3307690921a42d3df9e13ff7a35fa621088d7656cf297d3bb44306fa4ebc03bc631afc3c050b0562dea4b0b833e85818d2,06/01/2022 12:00:00 AM,06/01/2022 12:30:00 AM,2613,0,,,8,8,17.50,0.00,0.00,0.00,17.50,Cash,Sun Taxi,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
26999f035a388e54073d0d5cc4925c3792c360ae,0e4b7d65d1783bec4e8d024b4eb2ef8dc661af329a18f7a0a677c3e3caa661553fc0c70ac881b296d7b4831a8f0f34ad3879aac8d9ae2d5ffe62a1f8b43325ca,06/01/2022 12:00:00 AM,06/01/2022 12:00:00 AM,600,2.9,,,11,14,10.25,0.00,0.00,0.00,10.25,Cash,Taxi Affiliation Services,41.978829526,-87.771166703,POINT (-87.771166703 41.9788295262),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
2cf4234f28a23718fc6132e1492ba863ed238808,356744753023949fa63be6a6d7e0aef31f2d50dd3b0258449c6b8b6d277765da6955b1ef88c72ca79a9db0d3c20b162fce7cd9ec113b49da61c12c2c546915d4,06/01/2022 12:00:00 AM,06/01/2022 12:15:00 AM,929,2.24,,,49,51,11.50,0.00,0.00,0.00,11.50,Prcard,Flash Cab,41.706587882,-87.623366512,POINT (-87.6233665115 41.7065878819),41.690633347,-87.570058269,POINT (-87.5700582686 41.6906333472)
2d736cddf52316eb2ca6e42355773f06cd2a9c41,16c0058a9dec4071ca1a3eedf10a184abdf86cde941d1274a1cf9e7a69c49f71174b7df0634134f3c087b8fb50e67836e72c1fdcb6dc1d818f9cc58cdddbd9d5,06/01/2022 12:00:00 AM,06/01/2022 12:30:00 AM,2222,19.19,,,76,,47.50,10.80,0.00,6.00,64.80,Mobile,Star North Taxi Management Llc,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
3227c49b29c092f048a7a65b795deebd1b4ac269,8942c504d38b52d769ac1800e8c7dde070687626dcae14d708c2fcc98e3f7a9fd7b7501543a9203f37d49eeba4aef40729e51cc2009b154cb08a3aa2286fab16,06/01/2022 12:00:00 AM,06/01/2022 12:00:00 AM,0,0,,,34,34,3.25,0.00,0.00,0.00,3.25,Cash,Taxi Affiliation Services,41.842076117,-87.633973422,POINT (-87.6339734222 41.8420761168),41.842076117,-87.633973422,POINT (-87.6339734222 41.8420761168)
